%-----------------------------------------------------------------------
% vega_spec function                                          AstroSpec
% Description: Get Vega spectrum from Kurucz (1993) models.
%              Teff = 9550,  log g = 3.95, log z = -0.5e0.
%              V-band magnityde = +0.034 mag (measured from spectrum,
%              assuming 3670 Jy for V=0).
%              Multiplied by 1.006 so that the normalization coincides
%              with Fukugita.
% Output : - Vega spectrum [Wavelength(A), Flux(erg/cm^2/s)]
% Tested : Matlab 7.0
%     By : Eran O. Ofek                   March 2005
%    URL : http://wise-obs.tau.ac.il/~eran/matlab.html
% Example: Spec=vega_spec;
%-----------------------------------------------------------------------


14375. 1.78576e-10
14425. 1.75412e-10
14475. 1.74157e-10
14525. 1.71495e-10
14570. 1.70092e-10
14620. 1.68202e-10
14675. 1.66122e-10
14725. 1.64136e-10
14775. 1.61967e-10
14825. 1.602e-10
14875. 1.58047e-10
14925. 1.56376e-10
14975. 1.54133e-10
15025. 1.5198e-10
15075. 1.49727e-10
15125. 1.47666e-10
15175. 1.45301e-10
15225. 1.4336e-10
15275. 1.41129e-10
15325. 1.38983e-10
15375. 1.384e-10
15425. 1.34538e-10
15475. 1.35306e-10
15525. 1.33506e-10
15575. 1.28233e-10
15625. 1.33862e-10
15675. 1.27284e-10
15725. 1.23298e-10
15775. 1.3038e-10
15825. 1.27993e-10
15875. 1.15285e-10
15925. 1.22426e-10
15975. 1.26673e-10
16050. 1.21122e-10
16150. 1.13175e-10
16250. 1.19526e-10
16350. 1.12568e-10
16450. 1.05473e-10
16550. 1.12061e-10
16650. 1.09774e-10
16750. 1.02789e-10
16850. 9.62276e-11
16950. 1.02645e-10
17050. 1.00852e-10
17150. 9.86841e-11
17250. 9.56476e-11
17350. 8.4387e-11
17450. 9.03441e-11
17550. 9.04132e-11
17650. 8.87855e-11
17750. 8.70238e-11
17850. 8.51997e-11
17950. 8.33887e-11
18050. 8.09315e-11
18150. 7.22185e-11
18250. 7.56597e-11
18350. 7.65826e-11
18450. 7.52277e-11
18550. 7.36026e-11
18650. 7.14516e-11
18750. 6.35988e-11
18850. 6.83692e-11
18950. 6.79584e-11
19050. 6.68826e-11
19150. 6.55809e-11
19250. 6.4118e-11
19350. 6.20588e-11
19450. 5.53382e-11
19550. 5.97193e-11
19650. 5.94174e-11
19750. 5.8416e-11
19850. 5.73444e-11
19950. 5.62752e-11
20050. 5.52326e-11
20150. 5.42126e-11
20250. 5.32129e-11
20350. 5.22364e-11
20450. 5.12894e-11
20550. 5.03583e-11
20650. 4.94406e-11
20750. 4.85563e-11
20850. 4.7691e-11
20950. 4.68394e-11
21050. 4.6005e-11
21150. 4.51647e-11
21250. 4.4369e-11
21350. 4.35991e-11
21450. 4.27432e-11
21550. 4.15434e-11
21650. 3.73534e-11
21750. 3.97966e-11
21850. 3.98385e-11
21950. 3.93059e-11
22050. 3.86342e-11
22150. 3.79648e-11
22250. 3.73468e-11
22350. 3.67209e-11
22450. 3.61084e-11
22550. 3.5502e-11
22650. 3.49201e-11
22750. 3.43438e-11
22850. 3.38011e-11
22950. 3.32531e-11
23050. 3.27195e-11
23150. 3.21935e-11
23250. 3.16797e-11
23350. 3.11721e-11
23450. 3.06746e-11
23550. 3.01789e-11
23650. 2.96875e-11
23750. 2.91887e-11
23850. 2.87058e-11
23950. 2.8223e-11
24050. 2.77546e-11
24150. 2.72796e-11
